Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Gorgonzola & Walnut Risotto,Italian,,,,https://www.lacucinaitaliana.com/italian-food/how-to-cook/gorgonzola-and-walnut-risotto,Vegetarian,"Side,Entree",,,,
Gorgonzola Sauce,Italian,4,"1 cup gorgonzola,0.25 tsp nutmeg,  salt to taste,  pepper to taste,2 cups milk,0.25 cup flour,4 tbsp butter (unsalted)","Prep:
Measure and shred the gorgonzola.

Main:
In a small saucepan over medium heat, melt the butter.  Stir in the flour.  Drizzle in a little milk at a time, stirring until smooth before adding more milk.  Cook, stirring, until the mixture thickens.  Add the salt, pepper and nutmeg.  Stir to combine.

If desired, add about ½ cup cheese, such as Romano for a simple besciamella, Velveeta for mac & cheese, or gorgonzola to top gnocchi.  Stir until melted.",,"Vegetarian,Halal",Sauce,,Screen Shot 2019-02-22 at 1.42.09 PM.png (https://dl.airtable.com/.attachments/1e7d8564ed601d40736821bff0696daf/35408c01/ScreenShot2019-02-22at1.42.09PM.png),,
Guacamole,Mexican/Latin,,,,,,,,,,
Guava Cream Cheese Empanadas,Mexican/Latin,,,"1 8-ounce package cream cheese
1 large egg
1 tablespoon sugar
Grated zest and juice of 1 lime **
3/4 cup guava paste
1 14-ounce package frozen empanada wrappers, thawed
Vegetable oil, for frying
Confectioners' sugar, for dusting


Pulse the cream cheese, egg, sugar, lime zest and lime juice in a food processor until smooth.

Put 1 tablespoon guava paste in the center of each empanada wrapper, then top with 1 tablespoon of the cream cheese mixture. Fold the dough over the filling and press the edges with a fork to seal.

Brush tops with egg wash (1 egg whisked with water...)

Bake at 400 for 15-20 minutes, turning half-way
Bake... what temp/how long?",https://www.foodnetwork.com/recipes/food-network-kitchen/guava-empanadas-recipe-1973263,"Vegetarian,Halal","Appetizer,Dessert",,,,
Gulab Jamun,Indian/Bangali,,,,"Source:
- https://aromaticessence.co/gulab-jamun-recipe/
- https://www.archanaskitchen.com/homemade-easy-gulab-jamun-recipe-delicious-tasty",Halal,Dessert,,,,
Haleem,Indian/Bangali,,,,"Source: p. 176 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Paleo","Soup,Entree",,,,
Honey Garlic Chicken Wings,American,3,,"3/4 cup honey
6 tablespoons soy sauce
6 large garlic cloves crushed
1.5 tablespoon ginger paste
3/4 teaspoon chili flakes
1/4 cup water
1.5 tsp corn starch
1/4 cup water

Prep:
Get out all the ingredients for the sauce. Place aluminum foil on two baking sheets and spray with olive oil. Mix some flour, salt, and pepper on a wide plate. 

Directions:
Without turning on the stovetop, crush 6 cloves garlic into a small saucepan. Pour in 3/4 cup honey, 6 tbsp soy sauce, 1.5 tbsp ginger paste, 3/4 tsp chili flakes, and 1/4 cup water. Set aside for later.

Preheat oven to 400 degrees. Meanwhile, dab each chicken wing with paper towels until completely dry. Then coat each one with the flour mixture, shaking off any excess. Once laid out on the baking sheets, spray the wings with olive oil. 

Bake the chicken wings for ~40 min or until they are golden brown and crispy. Turn the wings every 10 min to ensure even browning.

When the chicken has been in for 20 min, start heating the sauce. Bring it to a boil, reduce heat and simmer about 3 min.  Mix 1.5 tsp cornstarch with 1/4 cup cold water, then stir that into the sauce. Let it simmer for ~10 minutes or until thickened, stirring occasionally.

Spray a baking dish with olive oil. Place the chicken wings into the dish and toss with sauce to coat them. Put the baking dish in the oven for ~10 minutes, turning the wings after 5 minutes.

Finally, allow the wings to cool ~10 minutes. As the sauce cools, it thickens, so stir the wings every few minutes to ensure it sticks to the wings in an even coating.

Serve with steam broccoli on the side, which will go well with the honey garlic sauce. Sprinkle sesame seeds on the wings when serving if desired.",,"Halal,Paleo",Entree,2 hours,IMG_3938.jpeg (https://dl.airtable.com/.attachments/20afdca0e4712f20ef1dab94c406224b/627ae39a/IMG_3938.jpeg),,
Hot Dogs,American,,,"Oven-roasting hot dogs is a great alternative to grilling because you can brown them like you can on the grill. Craving a juicy, grilled hot dog in winter? The oven is the next best thing!

1. Pre-heat oven to 400 degrees.

2. Put your hot dogs in a pan or tray.

3. Cook for 15 minutes, turning half-way through. 

Keep an eye on your dogs. You’ll know they’re done when you see them begin to brown and curl just a bit. Can’t you just hear the sizzle?

Tip: Turn on the broiler in the last few minutes if you like your dogs extra crispy.",- https://nathansfamous.com/the-stand/how-to-cook-the-perfect-hot-dog/,Halal,Entree,20 min,,,
Idli,Indian/Bangali,,,,Source: https://aromaticessence.co/soft-fluffy-idli/,"Halal,Vegan",,,,,
Irish Soda Bread,North/Eastern European,,,"1 ½ c raisins (half dark, half golden)
4 c sifted flour
1 tbsp baking powder
1 tsp baking soda
1 tsp salt
2 tbsp sugar
½ c shortening, cold
4 tsp caraway seeds (optional)
2 large eggs
½ c unsweetened applesauce
1 1/3 c buttermilk
1 tablespoon milk

Directions:

Put the raisins in a microwavable bowl and cover with 1 inch of water.  Heat for about 2 minutes.  Set aside to  cool.  Grease an 8-inch round pan.  Preheat the oven to 350 degrees.

In a large bowl, stir together the flour, baking powder, baking soda, salt, and sugar.  Cut in the shortening with a pastry blender until the mixture resembles coarse cornmeal.  Drain the raisins and gently dry them with a paper towel.  Stir in the caraway seeds and raisins.  Make a well in the center of the flour.  Beat the eggs into the well, then the applesauce.  Pour in the buttermilk and mix in all the flour.  

Knead several times in the bowl, using a spatula to make sure you get all the dough.  Turn the dough onto a lightly floured surface and knead for a few minutes.  Put the dough in the prepared pan and smooth the top.  Brush the top with the milk.  Cut a deep X on the top.  Bake for 40 - 50 minutes, or until a toothpick inserted in the center comes out clean.  Cool for 10 minutes, then remove from the pan and cool completely on a wire rack.  Store tightly wrapped.

",,"Halal,Vegetarian",Bread,,irish_soda_bread.png (https://dl.airtable.com/.attachments/d5c15b14d3bd233675b25a2f19eca728/0badf015/irish_soda_bread.png),7.0,
Jalebi,Indian/Bangali,,,,"Source: p. 255 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Vegetarian",Dessert,,,,
Jambalaya,Cajun,,"2  bay leaves,1 tbsp hot sauce,2 tsp cajun spice mix,2 tsp oregano,0.5 tsp thyme,1 cup chicken bouillon broth,28 oz diced tomatoes,1 lb chicken breasts,0.5 lb andouille,1  onion(s),1  green bell pepper(s),8 oz okra,3 stalks celery,1 lb shrimp,1.5 cups rice (raw)","Prep:
Chop 3 stalks celery, 1 green pepper, 8 oz okra, and 1 medium onion. Slice 1/2 lb andouille, and cube 1 lb chicken breasts.

Soak 1.5 cups uncooked rice. Devein and clean 1 lb shrimp.

Directions:
Boil shrimp for 4 minutes or until pink. Set aside, covered, in fridge.

In a large pot or a slow cooker, mix the andouille, chicken, onion, green pepper, celery, okra, diced tomatoes, and chicken broth. Stir in 1/2 tsp thyme, 2 tsp oregano, 2 tsp Cajun seasoning, 1 tsp hot, and 2 bay leaves.

If using stovetop, cook on medium heat with a (_______) for 3 hours, stirring every 30 min.

If using a slow cooker, cook on LOW for 7 hours or on HIGH for 3 hours. 

At 2.5 hours, boil the rice. 

Stir in the shrimp, cover, and cook another 5 min. Finally, mix in the rice.","Can be made halal if you sub ""Arnold's Smoked Hot Beef Sausage 16oz (Pork Free)"" for the andouille.

Source: https://www.neworleans.com/restaurants/traditional-new-orleans-foods/jambalaya/",,Entree,5-9 hours,,,
Jates,Mexican/Latin,,,"grilled bacon-wrapped hot dog
sweet bun**
minced tomatoes
ketchup
crema
caramelized onions
jalapenos","- https://www.ozy.com/good-sht/the-best-hot-dogs-are-south-of-the-border-say-hello-to-jates/96601/
- https://www.bcsnoticias.mx/la-historia-del-hotdog-en-la-paz-su-evolucion-desde-1970-que-lo-llevo-a-llamarse-jate/",,Entree,,jates.jpg (https://dl.airtable.com/.attachments/119455e65c0be9b050e69e6498a8b2c7/9db2be22/jates.jpg),,
Katchi Biryani (Mutton),Indian/Bangali,,,,"Source: p. 198 of ""My Bangladesh Kitchen"" by Saira Hamilton",Halal,Entree,,,,
Keema aur Matar,Indian/Bangali,,"2 tbsp cilantro (fresh),3.5 oz peas,4 oz water,0.5 tbsp garlic paste,1 tbsp ginger paste,0.5 tsp salt,0.5 tsp black pepper,0.5 tsp turmeric,1 tsp paprika,1 tsp coriander,1 tsp cumin,1 tsp chili powder,2 tsp garam masala,2 tbsp green chili pepper(s),2  bay leaves,1  cinnamon stick(s),4  cardamom pods,1  onion(s),1 lb ground beef","Prep: 
In a small mixing bowl, combine 2 tsp garam masala, 1 tsp chili powder, 1 tsp cumin, 1 tsp coriander, 1 tsp paprika, 1/2 tsp turmeric, 1/2 tsp black pepper, 1/2 tsp salt, 1 tbsp ginger paste, and 1/2 tbsp garlic paste. 

Mince 2 tbsp of green chili peppers and stir them into the spice mixture. Set this aside for now.

Directions:
Mince 1 onion and caramelize it in a skillet with 4 cardamom pods, 1 cinnamon stick, and 2 bay leaves. Meanwhile, defrost and drain 3.5 oz of frozen peas.

Once the onions have caramelized, stir in peppers and spice mixture. Pour in 4 oz of water and cook, stirring, until the mixture thickens into a thin paste.

Turn the heat up high and add the ground beef. Making sure to break up any lumps of meat, thoroughly coat the beef in the spice mixture. Next, reduce the heat to medium, cover the skillet, and cook for ~10 min, stirring occasionally. Uncover the skillet and cook for 5 more minutes. 

While the meat cooks, chop 2 tbsp of fresh cilantro. Once the meat has reached a relatively dry consistency, stir in the cilantro and the peas. Cook for 5 more minutes.","Source: p. 156 of ""My Bangladesh Kitchen"" by Saira Hamilton

This can be made vegan by using ground Impossible Meat instead of ground beef.","Halal,Paleo,Vegan",Entree,,kemma_aur_matar.jpg (https://dl.airtable.com/.attachments/ab20ee80ed419fdc2ff46052e7489eb6/38b5691a/kemma_aur_matar.jpg),,
Khichdi,Indian/Bangali,6,,"1 ¼ cups dried split yellow mung beans (such as Pride of India)
¾ cup uncooked white basmati rice 
½ cinnamon stick (about 1 1/2 inch)
6 whole cloves  -- reduce to 4?
1 ½ tsp ground cumin 
1 teaspoon ground coriander 
1 teaspoon brown mustard seeds 
1 teaspoon ground turmeric
½ teaspoon fennel seeds -- EXCLUDE these
½ tsp GROUND fenugreek seeds********
Generous pinch of cayenne pepper -- add more... maybe 1/2 tsp
2 large garlic cloves, crushed -- do not use paste
2 tsp ginger paste (finely chopped peeled fresh ginger)
5.5 cups water
2 fresh bay leaves
Pinch of kosher salt, plus more to taste
Whole-milk yogurt and fresh cilantro leaves, for serving  

Directions:
Step 1
Place mung beans and rice in a fine wire-mesh strainer; rinse under cold water, stirring with your hands, until water runs clear, about 3 minutes. 

Step 2
Place cinnamon stick, whole cloves, cumin, coriander, mustard seeds, turmeric, fennel seeds, fenugreek, and cayenne in a large heavy-bottomed pot or a medium Dutch oven. Heat over medium, stirring constantly with a wooden spoon, until very fragrant, about 3 minutes. Add garlic and ginger; cook, stirring constantly, 1 minute. Add mung bean mixture; stir to coat in spices. Add 6 1/2 cups water, bay leaves, and salt. 

Step 3
Bring mixture to a vigorous simmer over medium-high, stirring occasionally. 

Cover and reduce heat to low; simmer, stirring and running spoon along bottom of pot occasionally, until mung bean mixture is tender but rice still holds it shape, 12 to 15 minutes. (Mixture will be slightly runny, but it will thicken as it sits.) Remove from heat. Remove and discard cinnamon, whole cloves, and bay leaves. Gently stir in salt to taste. Divide evenly among bowls; dollop with yogurt, and sprinkle with cilantro.","Source: https://www.foodandwine.com/recipes/khichdi

This recipe comes directly from the (Buddhist) Thiksey Monastery in Ladakh, India.","Vegetarian,Halal",Entree,2 hours,,,
Kitchuri (Amu's),Indian/Bangali,,,,,"Vegan,Halal",Side,,,,
Koshari (Egyptian),Middle Eastern,,,,https://www.lentils.org/recipe/egyptian-koshari-bowl/,,,,,,
Lachi Paratha,Indian/Bangali,,,,"Source: p. 213 of ""My Bangladesh Kitchen"" by Saira Hamilton","Halal,Vegetarian",Bread,,,,
Lemon Za'atar Aioli,Middle Eastern,,,"*TO MAKE LEMON ZA’ATAR AIOLI:
> In a small mixing bowl, combine:

1/4 cup olive oil-based mayonnaise**
1/2 cup olive oil
2 tsp za’atar*** add last to see how much is needed
1 tsp lemon juice
1/2 tsp crushed garlic / 1 small clove?
1/8 tsp salt",Based on: https://www.lentils.org/recipe/spiced-middle-eastern-lentil-medallions/,"Vegan,Halal,Vegetarian,Paleo",Condiment/Topping,,,,
Lentil Lahmacun,Middle Eastern,,,,"Turkish pizza
Source: https://www.lentils.org/recipe/lentil-lahmacun-turkish-pizza/",Halal,Entree,,,,
Lentil Manti,,,,,"Turkish dumplings
Source: https://www.lentils.org/recipe/lentil-manti-turkish-dumplings/",,,,,,
Lentil Soup,Italian,,,"12 oz baby bella mushrooms
2 tbsp olive oil
2 tbsp butter
4 oz pancetta, diced
2 large carrots, chopped
2 stalks celery, chopped
1 large onion, coarsely chopped
1 clove garlic, finely chopped
8 oz tomato puree
6 – 8 cups chicken stock
2 medium bay leaves
1 tsp salt
¼ tsp thyme
½ tsp oregano
¼ tsp red pepper flakes
¼ tsp black pepper
1 cup dry brown lentils
1 large sweet potato, diced

Prep: 
Soak 1 cup dry brown lentils for 6 hours.

Remove the fat from the pancetta and chop it. Put it back in the fridge temporarily.

Peel and dice the carrots. Dice the celery and onion. Set these aside in the same bowl. Peel and chop the sweet potatoes and set them aside in their own bowl. 

Slice the mushrooms. 

Directions:
In a large 4-5 quart stockpot or dutch oven, heat some olive oil and sauté the mushrooms until the liquid they. release is cooked off. Add the pancetta and cook until lightly crispy. Remove the mushrooms and pancetta from the pot temporarily. 

Cook the carrots, celery, and onions for 15 minutes or until the vegetables are tender and lightly browned. Add the garlic and cook for 1 minute more. Then add back the mushrooms and pancetta.

At this point, stir in 6 cups of the chicken stock and 8 oz tomato puree. Then mix in 2 bay leaves, 1 tsp salt, 1/4 tsp thyme, 1/2 tsp oregano, 1/4 tsp red pepper flakes, and 1/4 tsp black pepper.  Add the lentils and sweet potato.

Increase the heat to medium-high and bring the soup to a boil. Then cover the pot and reduce the heat to a simmer. Cook the soup for about 90 minutes, stirring every 15-20 minutes. Add more chicken stock if the soup becomes too thick. 

Taste the soup and add salt to taste if desired. Remove the bay leaves and serve.","1 cup dry BROWN lentils (red lentils are too flimsy and become flaky mush)


",Paleo,Soup,2.5 hours,,,
Lokshen Kugel,North/Eastern European,12," sprinkle cinnamon,0.25 tsp salt,1 tsp vanilla extract,4 tbsp butter (unsalted),0.66 cup sugar,8 oz cream cheese,8 oz cottage cheese,16 oz sour cream,6  egg(s),12 oz egg noodles,1 cup raisins","Prep:
Take the cream cheese out to soften. 

Soak 1 cup raisins in warm water.

Take out the rest of the ingredients and place them around the blender.

Put on a pot of water to boil for the noodles. 

Directions:
Melt 4 tbsp butter and set aside.

In a food processor or blender, blend together 6 eggs, 16 oz. sour cream, 8 oz. cottage cheese, 8 oz. softened cream cheese, 1 cup sugar, 4 tbsp melted butter, 1 tsp vanilla extract, and 1/4 tsp salt.

Cook the noodles at a simmer until al dente (~6 min), since they'll be cooked more later. Drain and return the cooked noodles to the pot.

Preheat the oven to 350 degrees.

Pour the egg mixture over the cooked noodles in the pot and stir until well combined. Then, drain the raisins and stir them into the kugel mixture.

Butter a 9x13 inch baking dish and pour in the kugel mixture. Top the kugel by sprinkling cinnamon. (Alternatively, for a sweeter dessert kugel, you can top it with streusel.)

Bake the kugel for about 60 minutes, turning once halfway through cooking, till the center of the kugel is set and the tips of the noodles turn golden brown. 

Let the kugel rest for 15-20 minutes before slicing. Kugel can be served warm or cold.","https://toriavey.com/toris-kitchen/sweet-lokshen-kugel/

https://www.bonappetit.com/recipe/basicvally-noodle-kugel","Vegetarian,Halal","Appetizer,Side",1 hour 30 minutes,lokshen_kugel.png (https://dl.airtable.com/.attachments/e61fb01f9723e451209674f58244bb3a/e56a0b5b/lokshen_kugel.png),8.0,
Martha's Vineyard Salad,American,,,,,,"Appetizer,Side",,,,
Mascarpone Brownies,American,12,,"1 cup butter
4 oz. semi-sweet baking chocolate
4 large eggs
2 cups sugar
1 tbsp vanilla
1 cup flour
1 tsp salt
1 ½ tsp baking powder

8 oz. mascarpone
½ teaspoon vanilla
½ cup + 1 tbsp powdered sugar, sifted
¼ tsp cinnamon
1/8 tsp nutmeg


Prep
In a small pan, melt 1 cup butter 75% of the way. Then add the chocolate and melt both thoroughly. Set aside to cool. 

Grease a baking pan and line with parchment paper.

Directions
In the large bowl of a mixer, beat the eggs until frothy. Add the sugar and vanilla and beat until thick. Mix the flour with the salt and the baking powder, then add to the batter and mix on low until all the flour is mixed. Beat on high for about 2 minutes. Slowly pour in the cooled chocolate and mix thoroughly.

Preheat the oven to 325 degrees.

In the large bowl of a mixer, beat the mascarpone with the vanilla, sifted sugar, cinnamon, and nutmeg. Gently swirl the mascarpone into the brownie mix.

Bake for ~40 minutes or until it doesn't jiggle anymore and a toothpick stuck in the middle can come out clean. Let cool in the pan on top of a rack for 30 minutes. Then remove from the pan to finish cooling directly on the rack.",Can use any recipe for brownies and just swirl in the mascarpone mix,"Vegetarian,Halal",Dessert,1.5 hours,IMG_4752.jpeg (https://dl.airtable.com/.attachments/fec1df2cf2db8bb7b844f00b595e2004/aeeb8cc1/IMG_4752.jpeg),,
Mashed Potatoes,American,,,"4 Potatoes
4 tbsp butter
Milk
garlic powder
onion powder
parsley


Boil the potatoes for 30-40 minutes with the skin on. Place the hot potatoes in a colander. Run cold water over them as needed while you peel the skins off with your hands. 

Place chunks of potato in the blender with 4 tbsp butter, garlic powder, onion powder, and parsley. Blend partially before adding milk. Then blend until the potatoes are creamy.",,"Vegetarian,Halal",Side,,IMG_4996.jpeg (https://dl.airtable.com/.attachments/64484f35d716d9f5c524b94dc5fb9725/bce90982/IMG_4996.jpeg),,
Meatballs,Italian,4,"0.75 lb ground turkey,2 tsp tomato sauce,2 oz water,2  egg(s),1 tsp parsley,0.5 tsp garlic powder,0.25 cup pecorino romano,1 cup white bread crumbs","Prep:
Take out meat to allow it to come to room temperature.

Tear the bread into 1-inch pieces and put into the bowl of the food processor. Process until the bread has become crumbs and measure out 1 cup into a mixing bowl.

Directions:
Mix 1/4 cup pecorino romano, 1/2 tsp garlic powder, and 1 tsp parsley into the breadcrumbs. Add 2 eggs, 1/4 cup water, and 2 tsp of the tomato sauce. Whisk until smooth.  

Add the ground turkey to the bowl in chunks. Mix thoroughly, preferably with hands to ensure homogeneity. 

Form the mixture into ~12 balls, drop into pot of simmering sauce, and cook for at least 1.5 hours.","Cook in 1 recipe tomato sauce OR bake at 375 for 45 min.

Can use other kinds of ground meat instead of turkey if desired. For instance, 2 parts ground chicken & 1 part ground beef.",Halal,Entree,2 hours,"Screen Shot 2019-01-23 at 1.12.13 PM.png (https://dl.airtable.com/.attachments/18cbd646b03d9782ad56ecb91dec37d9/74195263/ScreenShot2019-01-23at1.12.13PM.png),IMG_3290.jpeg (https://dl.airtable.com/.attachments/1f6fe129d7c4b6d07a9a408da65cf25d/457b1dc5/IMG_3290.jpeg)",,
Middle Eastern Lentil Kebabs,Middle Eastern,,,"Ingredients
½ lb (250 g) COOKED split red lentils / ~1 cup dried
1 lb (500 g) ground beef
1/2 tbsp (15 mL) coriander
¼ cup (60 mL) garlic clove, minced
2 tbsp (30 mL) dill, chopped
2 tbsp (30 mL) flat leaf parsley, chopped
2 tsp (10 mL) hot paprika
2 tsp (10 mL) cumin
1/2 tsp (10 mL) salt
10 Eggplant pieces, sliced lengthwise, grilled until tender
10 pita rounds, lightly grilled

Directions
Preheat a non-stick sauté pan, or griddled pan.
In a large mixing bowl, combine lentils, beef, coriander, garlic, dill, parsley, paprika, cumin, and salt. Mix thoroughly until a sticky consistency is reached.
Shape into 10 equal medallion patties. Each patty should be roughly 3-4 inches in diameter for large medallions or 2-3 inches for smaller ones.
One the prepared hot pan, grill the medallions with a small drizzle of oil for 5 minutes, or until cooked through.
Serve one large, or two small medallions in a pita with a slice of grilled eggplant, and dress with 2 oz (60 g) of aioli.


**Serve with Lemon Za'atar Aioli**","Source: https://www.lentils.org/recipe/spiced-middle-eastern-lentil-medallions/

Serve with Lemon Za'atar Aioli",,,,,,
Moong Dal (South Indian),Indian/Bangali,,,,https://www.indianhealthyrecipes.com/moong-dal-recipe/,"Vegetarian,Halal",Entree,,,,
Moroccan Braised Chicken & Lentils,Mediterranean,,,"

1 cup dry SPLIT red lentils

1 medium white onion, finely chopped
2 garlic cloves, thinly sliced

1.5 cups whole cherry tomatoes (or 2 medium tomatoes)

1.5 tbsp paprika
1 tbsp cumin

1 chicken cut into 8 pieces (or equivalent in breasts and/or thighs)
Salt and pepper to taste

3 bay leaves
1 tsp chili flakes
1/4 tsp cinnamon

2 cups chicken broth

Prep:
Soak 1 cup dry red lentils in warm water for 1-2 hours.

Dice 1 onion and crush 2 cloves garlic. Mix in 1.5 tbsp smoked paprika and 1 tbsp cumin and set aside.

Dice 2 medium tomatoes. Add 3 bay leaves, 1 tsp chili flakes, and 1/4 tsp cinnamon and set aside.

Spatchcock the chicken and cut it into pieces. 

Directions:
Pat each piece of chicken dry, season with salt and pepper, and sear  in an ovenproof fry pan (or cast iron pan) over medium/high heat. Cook for 3 to 4 minutes on both sides or until golden brown. Be sure not to crowd the pan or the chicken will steam and not sear. Sear the chicken in batches if required. Set the chicken pieces aside temporarily.

At this point, preheat the oven to 400˚F.

Over medium heat, sauté add the onion and garlic mixture for 3-5 min or until onions become transparent, but not browned. 

Then add drained and rinsed lentils, 2 cups chicken stock, the diced tomatoes, 3 bay leaves, 1 tsp chili flakes, and chicken pieces. 

Slide into oven and bake for 20 to 25 mins (do not add a lid to the pan). Check chicken and lentils for doneness. Turn oven off and turn on broiler feature. Brown up the tomatoes for a minute or so then remove pan from oven and check lentils for seasoning. Garnish with finely chopped parsley and extra chili flakes to taste.",Source: https://www.lentils.org/recipe/moroccan-braised-chicken-lentils-smoked-paprika-tomato/,"Halal,Paleo",Entree,,IMG_3403.jpeg (https://dl.airtable.com/.attachments/0b7d7865d796c8bc67e4059122be9cae/d341b18a/IMG_3403.jpeg),,
Moroccan Mushrooms,Mediterranean,,,,https://www.bbcgoodfood.com/recipes/234607/moroccan-mushrooms-with-couscous,,,,,,
Mostaccioli,Italian,,,,https://www.lacucinaitaliana.com/recipe/cakes-and-desserts/mostaccioli-cookies-from-molise ,Vegetarian,"Cookies,Dessert",,,,
Moussaka,Greek,,"3  egg(s),3 cups milk,0.75 cup flour,6 tbsp butter (unsalted),8 oz water,28 oz crushed tomatoes,1 tbsp red wine,1 tbsp sugar,0.125 cup tomato paste,0.125 tsp cloves (ground),0.25 tsp nutmeg,1 tsp cinnamon,1 lb ground beef,1  cinnamon stick(s),2  bay leaves,  olive oil,1  onion(s),""1 cup """"graviera, grated"""""",  kosher salt,2  eggplant(s)","Prep:
Peel the eggplant so that it has stripes of skin. Slice it into medium-thin pieces. Place the slices onto a baking sheet and salt the top sides. Set the timer for 15 minutes, and let them sit.
 
Meanwhile, grate the graviera (or gruyere if substituting). When the timer goes off, flip the eggplant slices, salt them, and set the timer for another 15 minutes. 

At this point, set the oven to preheat to 350 degrees F. Mince the onion while the eggplant sits for its second round.
 
Directions:
Heat some olive oil in a large, deep skillet and toss in the onions with the bay leaves and the cinnamon stick. Let these caramelize on very low heat for 15 minutes.

When the timer for the eggplant goes off, rinse the eggplant slices thoroughly as well as the baking sheets. Oil the baking sheets, making sure to coat each side of each eggplant slice in the olive oil. Bake for 10 minutes at 350, flip the eggplant slices, and bake for another 10 minutes. They should be at least mostly cooked at this point, but will finish cooking when you bake the moussaka.
 
Once the onions are mostly caramelized, add the ground beef, 1 tsp cinnamon, ¼ tsp nutmeg, and 1/8 tsp ground cloves. Cook this until the meat is golden brown, and the onions are caramelized. Stir in the tomato paste. Then add the 28 oz crushed tomatoes, 1 tbsp red wine, 1 tbsp sugar, and 1 cup of water. Bring this to a boil and cook covered until half the liquid is reduced – about 20 minutes.
 
Once done, discard cinnamon and bay leaves and set aside.
 
In a medium saucepan, melt the butter. Add the flour 1 tbsp at a time, stirring constantly to ensure the rue stays smooth. ***Stir in the cinnamon and nutmeg.*** Then add the milk a little at a time, stirring constantly to avoid lumps. Once finished, pour this sauce into a blender with eggs. Blend until smooth and set aside.
 
To assemble, spread béchamel generously on the bottom of your baking dish. Alternate adding layers on meat sauce, eggplant slices, and béchamel, making sure to end with béchamel. Sprinkle generously with graviera. Bake until golden brown on top and bubbling at the sides – about 30-45 minutes.",Leave out the tablespoon of wine to make it halal,Halal,Entree,2 hours 45 minutes,"IMG_4863.jpeg (https://dl.airtable.com/.attachments/6622a8941b4a0146f59b6ff740f3b9dd/65c783bc/IMG_4863.jpeg),IMG_4862.jpeg (https://dl.airtable.com/.attachments/7ce01bafff536156000b7ab9669de256/caaf579a/IMG_4862.jpeg),IMG_4866.jpeg (https://dl.airtable.com/.attachments/9cd5ae30767b561f58c6603e54745453/58e46cc3/IMG_4866.jpeg)",10.0,
Mughlai Paratha,Indian/Bangali,,,,"Source: p. 216 of ""My Bangladesh Kitchen"" by Saira Hamilton","Vegetarian,Halal","Snack,Appetizer",,,,
Muhammara,Mediterranean,,,,,"Halal,Paleo,Vegetarian",,,,,
Mulligatawny Soup,Indian/Bangali,,,,"'- Madhur Jeffrey (w. lamb or chicken): https://www.epicurious.com/recipes/member/views/mulligatawny-soup-50015892
- Madhur Jeffrey I THINK (vegetarian): https://www.saveur.com/article/Recipes/Classic-Mulligatawny/
- random source (chicken): https://thewanderlustkitchen.com/indian-mulligatawny-soup/","Halal,Vegetarian,Paleo",Soup,,,,
Murghi Roast,Indian/Bangali,,"3 oz prunes,8  green chili pepper(s),8 oz water,0.5 tsp nutmeg,0.5 tsp mace,0.5 tsp cardamom (ground),0.5 tsp chili powder,2 tsp paprika,0.5 tsp tomato paste,0.5 cup yogurt,1 tbsp garlic paste,1 tbsp ginger paste,1 tbsp sugar,1  bay leaves,1  cinnamon stick(s),4  cardamom pods,3  onion(s),2 tbsp ghee,0.5 tsp garam masala,1.5 tsp salt,1 tsp onion powder,2 lb chicken breasts,2 tbsp white poppy seeds,0.5 cup cashews","***
- First boil water and soak the cashews
- Get everything else out
--- e.g.
- Dice all the onions
- caramelize all the onions (do the ones to be blitzed separately)
- Meanwhile create the yogurt mixture in a small mixing bowl.
- Reserve 1 cup of the cashew water for later 

- Empty the food processor into the pan with the onions
- Then pour the 1 cup water to into the empty food processor bowl to help get the remnants of the yogurt mixture
- Sear the chicken while the sauce is simmering


***

~~~~~~~~~~~~~~~~~~~~~~~~~","Source: p. 142 of ""My Bangladesh Kitchen"" by Saira Hamilton

NOTE: Instead of ground cardamom, you get a fresher flavor by simply using the seeds from 6 cardamom pods.","Halal,Paleo",Entree,,murghi_roast.jpg (https://dl.airtable.com/.attachments/1df3a143ab719781b15e0db65fe7baba/79b7a37d/murghi_roast.jpg),,
